employee_id,tasks_completed,average_task_quality,projects_led,client_satisfaction_score,hours_worked,deadline_met_score,innovation_score,efficiency_score,meetings_attended,collaboration_score,punctuality_score,training_hours_completed,work_engagement_score,peer_interaction_score,initiative_score,task_followup_score,speech_sentiment_score,speech_energy_level,speech_clarity_score,tone_consistency_score,speaking_speed,pause_frequency,pitch_variation,volume_stability_score,performance_rating
1017,42,7,1,44,36,7,5,8,15,7,6,16.9,5,8,1,8,0.27,7,5,8,114,2,7,6,Medium
1018,46,7,2,87,42,9,5,7,14,7,7,6.4,7,4,7,8,-0.27,5,4,4,124,5,7,6,Medium
1019,39,3,0,88,39,4,5,4,13,5,9,11.9,8,7,6,5,0.81,8,6,4,114,2,4,7,Medium
1020,41,5,2,72,41,8,4,6,14,4,6,11.2,7,5,6,7,0.11,3,5,6,112,6,3,9,Medium
1021,28,6,0,54,42,8,6,6,11,7,8,13.8,6,6,4,8,0.19,6,8,7,111,4,5,7,Medium
1022,35,4,2,49,31,7,3,4,13,1,6,3.6,3,6,6,6,-0.5,2,3,5,102,7,8,4,Low
1023,24,5,1,86,40,6,8,6,11,6,7,14.2,4,6,3,5,0.63,6,6,7,90,5,5,7,Medium
1024,35,6,1,80,41,7,5,5,11,5,7,8.2,6,6,7,8,0.35,7,4,6,122,4,7,7,Medium
1025,36,7,4,72,36,9,6,5,12,6,8,9.5,10,3,7,5,0.49,3,9,8,99,6,9,7,Medium
1026,52,8,5,62,39,10,7,10,12,7,10,15.8,7,9,10,9,0.6,6,10,8,143,5,8,8,High
1027,13,3,1,45,37,5,4,7,8,3,6,6.7,3,4,3,4,-0.25,1,2,6,81,7,7,2,Low
1028,33,4,2,77,40,8,9,6,17,9,10,11.1,8,8,3,9,0.3,6,5,6,142,2,6,7,Medium
1029,48,7,1,65,44,5,6,7,9,6,5,14.9,7,7,8,7,-0.09,5,3,9,96,1,4,7,Medium
1030,28,4,0,47,36,2,6,5,6,4,8,8.9,8,4,6,4,-0.27,1,6,7,89,11,8,5,Low
1031,49,5,4,84,46,7,5,9,12,6,7,19.2,5,7,9,7,-0.08,9,5,7,113,1,3,6,Medium
1032,42,3,0,49,28,4,4,8,10,5,4,7.2,8,3,4,3,-0.22,4,5,8,117,6,5,1,Low
1033,40,2,0,60,34,7,1,6,11,2,5,7.4,4,6,4,6,-0.05,5,6,1,111,5,2,3,Low
1034,47,7,5,78,43,10,8,7,17,10,8,18.0,8,7,10,9,0.78,8,9,7,146,2,6,7,High
1035,46,9,6,80,40,8,7,9,18,9,10,11.7,9,7,9,6,0.78,6,7,9,139,1,8,7,High
1036,45,10,3,91,55,9,10,9,16,8,8,15.5,10,9,8,7,0.92,7,6,8,121,3,9,9,High
1037,43,5,3,100,40,8,6,5,17,8,6,10.3,4,9,6,5,0.32,5,6,5,121,2,10,7,Medium
1038,29,7,1,59,34,3,2,6,9,9,3,9.4,4,6,5,3,-0.38,1,5,6,107,9,5,5,Low
1039,65,6,3,85,39,5,7,8,12,6,5,12.7,6,7,3,6,0.31,9,6,4,103,2,6,5,Medium
1040,54,4,1,68,38,6,6,6,12,9,8,12.6,9,4,7,6,0.25,8,5,10,97,0,2,6,Medium
1041,27,1,0,68,35,4,3,5,5,3,3,5.1,3,4,5,2,-0.33,5,4,5,108,11,3,5,Low
1042,35,5,3,84,31,7,4,7,13,7,4,12.9,5,3,7,5,0.64,6,5,7,107,4,6,6,Medium
1043,26,5,0,16,40,1,4,3,10,4,6,12.4,5,4,4,5,0.08,2,8,5,64,7,5,5,Low
1044,51,7,5,82,35,8,8,7,19,10,8,22.9,7,9,5,8,0.61,6,9,8,153,2,9,9,High
1045,32,3,1,61,41,8,3,5,9,7,7,12.6,5,6,3,8,0.46,6,7,9,111,2,8,5,Medium
1046,32,6,3,57,47,8,6,7,13,8,6,16.1,7,4,4,6,0.31,4,10,4,129,2,7,2,Medium
1047,43,6,2,96,38,5,6,8,14,6,6,13.8,7,8,7,7,0.1,7,7,6,99,4,6,7,Medium
1048,43,7,1,65,45,6,6,6,12,8,3,12.8,7,5,8,5,0.42,7,7,6,95,6,8,5,Medium
1049,43,8,2,68,32,8,3,6,15,5,8,6.9,7,8,8,6,0.34,6,5,5,97,7,7,6,Medium
1050,28,3,1,64,34,3,4,4,9,4,2,10.3,5,6,7,2,0.26,1,3,6,85,12,3,2,Low
1051,53,7,4,100,24,8,7,10,16,10,8,19.7,8,9,7,8,0.71,9,7,7,159,0,5,8,High
1052,46,6,4,84,52,9,8,7,15,8,8,19.0,10,8,8,9,0.99,10,8,10,135,2,9,10,High
1053,62,10,3,73,41,9,8,7,22,9,10,22.8,8,7,8,7,0.47,10,7,9,128,1,8,9,High
1054,45,10,2,71,46,10,8,7,16,10,8,16.6,8,10,8,7,0.76,10,9,6,149,0,8,9,High
1055,36,9,3,100,40,8,2,9,14,7,9,15.3,8,6,4,5,0.73,7,5,8,100,7,4,5,Medium
1056,51,10,1,83,41,7,9,7,16,9,8,14.8,8,9,8,8,0.86,9,10,7,155,0,7,8,High
1057,28,4,2,55,28,5,1,5,11,1,4,6.0,5,3,2,7,-0.04,2,5,5,97,6,5,2,Low
1058,35,4,2,75,32,8,3,3,13,5,2,4.9,4,7,2,3,0.09,4,1,7,66,4,4,2,Low
1059,31,3,2,58,31,6,5,3,3,2,9,9.8,4,5,6,5,-0.45,4,8,2,94,6,8,4,Low
1060,53,8,3,97,33,6,4,6,8,5,7,10.8,5,5,5,7,-0.05,2,6,3,113,1,3,6,Medium
1061,30,6,3,53,41,7,7,7,14,7,8,10.7,8,8,6,7,0.25,9,8,6,143,4,5,6,Medium
1062,36,7,3,90,45,7,6,4,15,7,6,15.1,5,8,5,7,0.43,6,8,5,98,1,3,9,Medium
1063,59,8,4,83,40,10,6,8,17,9,9,13.3,8,10,7,7,0.29,6,8,8,137,3,7,10,High
1064,40,7,1,87,37,5,5,3,8,6,3,10.0,4,9,6,4,0.57,8,2,7,127,5,7,5,Medium
1065,45,8,2,80,39,8,6,7,15,7,5,7.5,6,7,6,5,-0.01,7,7,3,121,4,6,8,Medium
1066,39,5,1,77,48,7,4,9,11,7,8,15.8,4,4,7,5,0.43,6,6,6,136,2,8,5,Medium
1067,29,6,0,40,41,3,4,5,8,5,7,3.7,4,3,4,5,-0.02,1,1,2,96,10,1,5,Low
1068,54,9,5,100,35,8,7,10,17,10,10,14.6,7,7,7,10,0.24,7,7,10,146,1,7,8,High
1069,35,2,1,56,30,8,1,9,7,2,6,6.5,7,5,3,7,-0.45,6,3,5,85,3,1,5,Low
1070,44,9,5,58,34,9,7,7,17,8,10,18.0,6,7,6,8,0.85,7,10,9,164,2,8,7,High
1071,45,8,5,86,38,8,7,10,12,9,7,13.4,8,9,8,8,0.73,7,10,8,129,2,8,7,High
1072,31,4,0,56,39,3,4,4,3,6,5,9.9,4,5,4,4,-0.34,1,4,7,89,7,6,6,Low
1073,38,2,0,45,41,7,3,2,9,7,3,4.7,2,5,1,7,-0.17,5,2,2,101,7,7,7,Low
1074,45,8,4,82,42,7,5,10,17,9,8,18.3,8,10,7,7,0.3,10,7,9,135,4,10,8,High
1075,51,8,4,85,48,9,10,8,15,8,8,20.0,10,9,7,8,0.28,9,9,8,142,1,6,10,High
1076,58,8,7,80,39,9,7,6,17,8,7,21.3,10,7,5,8,0.81,6,10,7,143,3,8,9,High
1077,38,8,3,69,38,10,9,9,15,8,10,15.0,8,7,8,9,0.35,8,7,9,135,2,8,9,High
1078,22,3,0,70,47,6,5,2,9,4,5,7.3,5,5,3,5,-0.11,7,4,2,112,6,3,4,Low
1079,44,7,2,83,42,6,5,4,9,7,6,10.2,9,7,8,8,0.85,3,7,6,113,0,6,6,Medium
1080,36,5,2,29,39,6,6,3,2,6,4,13.9,5,6,6,1,-0.38,3,3,4,92,5,3,3,Low
1081,48,7,4,81,39,9,6,8,16,8,6,14.3,9,9,6,8,0.77,6,7,9,134,2,9,8,High
1082,51,4,1,52,39,6,4,6,12,9,6,4.5,5,7,6,6,0.32,6,6,5,142,3,3,10,Medium
1083,51,4,2,55,43,5,3,5,15,8,7,6.4,6,6,2,9,0.47,5,8,5,120,5,6,5,Medium
1084,19,5,1,63,35,5,4,1,6,4,5,4.7,5,4,6,4,0.0,3,2,5,95,6,2,2,Low
1085,40,7,2,59,45,7,3,7,16,4,7,13.2,5,6,6,7,0.7,5,8,7,100,4,9,10,Medium
1086,31,4,3,60,35,8,5,6,13,6,7,14.2,8,6,7,7,0.78,9,6,7,78,6,7,8,Medium
1087,46,9,2,88,38,9,9,9,16,6,10,18.2,10,9,10,8,0.52,7,10,8,151,0,7,8,High
1088,50,6,2,43,45,9,6,7,11,7,8,9.3,7,9,6,7,0.22,6,5,7,99,1,9,8,Medium
1089,51,9,2,98,34,8,10,10,16,9,6,17.9,10,9,9,9,0.72,7,5,5,122,2,7,7,High
1090,41,5,4,75,33,6,3,7,16,7,7,12.7,7,6,6,7,0.51,7,8,9,121,3,5,8,Medium
1091,19,1,0,36,44,4,3,3,6,5,5,5.7,9,2,2,6,0.24,5,7,2,97,10,6,4,Low
1092,60,7,2,83,45,8,8,8,18,6,10,17.8,10,8,10,9,0.62,10,7,9,139,1,6,7,High
1093,54,9,2,97,44,8,9,9,11,9,7,16.3,8,9,10,9,0.49,8,8,7,154,0,8,9,High
1094,46,5,2,80,41,7,5,6,12,7,7,17.8,9,5,3,7,-0.08,5,8,6,112,3,7,3,Medium
1095,41,7,4,69,47,9,7,7,16,9,7,15.0,10,8,7,9,1.0,6,10,6,148,2,10,9,High
1096,29,8,1,47,32,8,4,8,11,10,5,8.3,9,6,7,6,0.4,9,8,5,100,8,6,5,Medium
1097,39,7,2,71,45,6,2,8,15,6,5,14.1,7,8,4,9,0.67,4,7,7,126,6,6,6,Medium
1098,43,6,1,73,41,9,5,7,9,6,7,11.2,7,5,5,9,0.16,4,6,4,114,5,10,9,Medium
1099,31,5,2,57,30,3,5,8,7,3,2,10.0,6,7,4,4,-0.26,2,1,7,98,7,3,1,Low
1100,40,6,1,28,39,1,2,9,12,4,4,6.4,6,6,5,4,-0.38,5,5,4,89,10,1,3,Low
1101,24,5,2,58,30,5,4,7,4,4,4,7.4,3,8,2,4,-0.36,1,4,9,88,10,6,5,Low
1102,40,6,2,70,40,4,7,9,15,8,5,11.3,8,7,4,7,0.05,9,2,5,107,5,6,8,Medium
1103,44,8,3,77,41,6,3,7,14,10,8,10.0,8,6,5,6,-0.27,7,7,4,110,6,8,6,Medium
1104,37,7,2,67,44,7,9,7,11,7,9,9.2,5,7,7,3,-0.13,5,7,6,102,1,7,8,Medium
1105,58,9,3,81,45,9,9,9,22,9,7,17.2,9,7,8,8,0.78,9,9,4,125,2,9,10,High
1106,33,6,4,100,36,6,5,6,13,5,5,8.9,8,5,4,8,0.54,8,5,4,87,3,2,7,Medium
1107,41,5,2,72,43,5,3,5,9,7,7,10.0,7,5,5,8,0.15,7,7,6,120,4,5,6,Medium
1108,42,9,4,88,51,9,9,9,16,9,10,20.1,8,8,8,9,1.0,8,9,8,140,3,8,7,High
1109,35,6,4,67,37,8,7,5,18,5,9,14.5,7,7,7,7,-0.22,6,7,7,146,6,8,7,Medium
1110,27,3,1,34,34,6,4,5,8,6,8,12.5,4,4,2,5,-0.5,5,3,4,79,4,4,6,Low
1111,42,7,1,57,39,9,6,6,9,6,3,15.6,8,5,6,8,0.41,3,5,6,113,3,5,7,Medium
1112,24,3,2,41,29,8,3,5,11,5,2,8.3,4,5,5,8,-0.23,8,6,6,114,6,3,4,Low
1113,54,9,5,83,46,10,10,10,20,8,9,17.3,7,8,8,8,0.54,9,6,7,136,2,8,9,High
1114,52,9,4,100,42,9,8,10,15,8,8,16.0,9,9,6,9,0.56,10,10,10,142,1,7,7,High
1115,47,6,2,70,40,6,8,7,11,6,7,12.5,7,7,6,6,0.14,7,10,4,138,5,7,6,Medium
1116,56,10,1,100,44,9,7,10,18,10,10,15.2,9,8,5,9,0.95,9,10,10,161,1,9,10,High
1117,41,10,5,54,45,10,7,9,16,9,8,22.3,8,8,8,8,0.91,8,9,8,137,4,7,8,High
1118,29,4,2,65,40,6,3,4,6,2,7,6.1,2,4,5,4,-0.13,6,2,1,73,7,6,3,Low
1119,51,7,5,100,50,7,7,10,16,7,8,18.4,8,8,9,8,0.95,7,10,7,154,2,7,9,High
1120,38,4,2,69,40,7,6,6,12,8,5,12.5,6,6,7,7,0.63,4,8,5,102,6,7,6,Medium
1121,46,9,4,98,42,8,9,8,19,6,7,18.1,9,10,8,8,0.3,9,7,5,139,3,8,8,High
1122,52,9,3,79,47,10,7,10,15,9,8,16.8,7,10,7,9,0.79,9,10,9,120,3,6,9,High
1123,37,9,1,38,37,8,6,5,15,7,5,9.9,4,3,5,7,0.68,7,8,4,104,0,9,6,Medium
1124,28,3,1,59,28,5,4,4,12,4,5,8.2,7,8,4,3,-0.44,5,1,3,89,8,6,4,Low
1125,38,5,2,80,40,10,8,5,18,8,9,9.8,9,5,3,7,0.18,7,6,3,123,3,6,4,Medium
1126,41,9,3,73,40,8,5,7,12,5,8,8.4,6,8,4,6,0.16,6,7,3,108,3,7,5,Medium
1127,51,7,3,97,40,6,8,7,17,10,8,17.3,7,8,9,9,0.99,9,10,8,136,4,5,10,High
1128,40,7,4,69,35,9,7,9,14,9,10,18.7,9,10,10,10,0.61,9,8,10,150,0,7,10,High
1129,32,2,2,48,49,6,3,5,8,3,4,6.1,5,6,3,2,-0.34,5,1,5,95,4,5,8,Low
1130,38,4,1,76,49,8,5,8,12,10,9,13.5,8,5,5,9,0.05,5,8,7,85,5,7,6,Medium
1131,29,6,4,67,46,8,2,7,14,8,8,15.3,8,5,6,8,0.23,5,5,7,109,4,7,6,Medium
1132,41,7,1,73,46,4,6,7,16,10,7,13.5,5,3,8,7,0.11,6,7,5,112,5,9,6,Medium
1133,27,3,0,61,32,3,3,2,8,5,4,10.8,5,2,3,8,0.01,2,1,3,75,9,7,6,Low
1134,40,7,2,69,45,5,6,6,6,6,9,11.8,4,7,7,4,0.6,6,6,3,117,7,8,3,Medium
1135,50,9,5,76,42,9,7,6,20,9,7,12.3,6,10,8,8,0.84,4,9,8,146,2,10,7,High
1136,30,3,2,94,45,4,8,4,8,4,7,11.2,6,7,8,5,0.41,6,4,5,111,7,8,5,Medium
1137,51,5,2,58,45,8,5,7,11,5,8,12.2,4,8,3,6,0.42,5,3,5,117,4,4,5,Medium
1138,52,10,4,100,43,6,7,6,16,9,8,12.5,7,7,7,9,0.72,8,8,8,131,1,6,6,High
1139,43,7,2,83,48,8,5,5,11,6,6,11.8,8,6,8,5,0.44,8,4,7,109,4,2,5,Medium
1140,50,8,2,84,38,7,9,10,14,9,7,18.8,8,8,10,9,0.56,8,9,8,131,0,9,7,High
1141,47,7,5,87,41,9,8,9,16,9,7,16.4,8,9,7,8,0.65,9,8,10,122,2,10,10,High
1142,45,7,4,96,42,5,5,9,14,4,7,10.5,8,6,6,8,0.17,3,9,7,97,4,10,5,Medium
1143,33,5,4,89,38,7,7,4,12,7,9,16.6,8,9,7,6,-0.24,7,7,9,114,2,3,4,Medium
1144,44,4,1,73,49,8,3,6,14,6,8,14.4,8,5,7,7,0.31,8,6,4,146,3,3,8,Medium
1145,38,6,1,64,32,9,4,8,21,4,9,10.9,9,6,7,5,0.28,8,10,5,157,0,8,8,Medium
1146,34,4,2,31,37,5,5,6,8,6,5,2.4,2,6,3,8,0.1,1,4,6,79,7,4,6,Low
1147,25,6,2,95,34,5,8,4,5,6,7,10.9,7,7,8,6,-0.14,9,9,5,92,2,5,8,Medium
1148,28,7,1,81,37,6,5,4,16,7,4,8.8,5,9,5,6,0.53,7,7,4,121,2,5,6,Medium
1149,31,3,0,53,42,6,7,4,8,4,2,16.0,6,3,5,4,0.03,2,4,3,100,6,3,3,Low
1150,35,3,5,88,41,8,4,8,13,6,8,13.3,7,7,4,6,0.22,6,7,6,123,5,6,6,Medium
1151,52,6,5,78,39,9,8,6,18,6,9,17.2,10,9,6,8,0.7,9,8,5,134,1,10,8,High
1152,40,6,2,48,37,5,6,9,10,6,8,8.3,6,7,6,4,0.2,7,10,8,126,3,8,6,Medium
1153,36,4,2,47,33,5,3,6,8,4,4,8.6,4,5,3,5,-0.24,4,5,5,117,3,5,6,Low
1154,36,6,2,80,38,6,7,7,7,7,8,15.7,7,5,3,9,0.06,5,6,10,124,2,6,6,Medium
1155,45,8,2,81,39,10,8,9,13,8,8,13.5,8,7,8,8,1.0,7,8,9,167,0,8,9,High
1156,42,5,3,74,42,7,4,5,12,8,7,15.0,6,5,9,6,0.37,5,7,6,112,4,5,9,Medium
1157,34,4,1,64,42,6,5,5,11,7,7,15.8,6,6,6,7,0.38,9,7,6,119,6,7,8,Medium
1158,43,8,3,72,40,7,9,9,17,9,9,18.4,8,8,7,8,0.67,6,9,7,135,0,8,9,High
1159,45,3,2,54,45,7,5,9,12,9,5,12.8,6,5,7,4,0.2,6,8,5,89,3,6,6,Medium
1160,57,10,2,83,38,8,9,9,18,10,8,14.8,9,8,9,9,0.67,8,8,7,132,2,8,8,High
1161,57,4,2,45,43,6,6,3,6,7,9,12.6,3,6,5,6,0.37,5,6,4,119,2,4,5,Medium
1162,34,5,1,94,39,5,6,7,19,8,8,7.2,9,7,4,6,-0.0,4,5,8,131,2,8,4,Medium
1163,31,6,2,72,45,5,5,6,15,6,6,9.4,4,8,5,5,0.21,7,8,10,92,6,8,8,Medium
1164,30,4,2,80,41,6,3,7,9,7,7,15.3,10,6,5,7,0.06,9,3,7,116,1,6,5,Medium
1165,26,3,3,50,33,3,2,5,4,4,4,3.8,1,4,4,6,-0.24,2,7,1,91,5,7,6,Low
1166,46,9,5,89,40,7,10,10,15,10,6,14.5,9,8,9,8,0.35,7,8,8,147,1,7,6,High
1167,40,6,4,72,42,10,6,7,19,7,5,11.5,9,3,4,5,0.45,5,6,7,141,3,7,4,Medium
1168,36,3,0,89,35,4,2,5,4,4,4,9.8,8,5,5,5,0.3,6,4,1,105,14,8,5,Low
1169,26,5,1,62,44,3,5,6,10,6,2,9.8,5,2,6,5,0.14,5,3,6,71,7,5,4,Low
1170,49,8,2,63,48,9,9,4,9,8,6,14.1,8,7,6,7,-0.0,9,7,7,93,6,6,5,Medium
1171,38,8,2,91,47,5,6,5,10,5,5,14.8,6,6,7,7,0.54,3,3,5,103,3,4,9,Medium
1172,32,5,3,53,40,6,5,2,9,4,4,9.9,3,6,6,2,-0.18,7,2,6,80,6,7,4,Low
1173,52,9,2,70,35,6,8,7,11,6,7,13.8,6,8,9,7,0.12,9,6,4,100,9,5,6,Medium
1174,46,5,4,99,41,4,4,5,13,9,6,5.9,4,7,8,7,0.29,5,4,1,128,4,7,4,Medium
1175,42,6,3,97,44,8,4,6,14,8,7,6.9,6,7,5,6,0.48,3,6,4,106,2,5,7,Medium
1176,20,5,1,72,27,2,4,6,11,6,7,8.6,3,3,3,6,-0.09,8,4,5,90,8,6,6,Low
1177,54,4,2,77,38,6,5,8,14,4,9,14.9,3,6,5,6,0.32,4,6,5,135,0,7,5,Medium
1178,38,7,2,93,33,8,8,7,9,3,5,15.1,9,6,6,7,0.23,9,5,5,113,5,7,5,Medium
1179,56,8,5,86,45,7,10,9,14,8,8,17.9,9,8,8,9,0.77,8,7,7,142,2,6,8,High
1180,25,3,2,100,36,3,3,6,3,3,7,12.5,2,5,4,1,-0.22,5,6,6,82,8,7,5,Low
1181,44,6,1,100,42,3,8,6,15,5,10,8.4,6,4,8,7,0.48,7,5,6,102,4,7,7,Medium
1182,23,6,1,54,20,3,4,5,6,3,4,5.9,7,2,3,8,-0.23,2,5,5,82,12,1,5,Low
1183,52,6,3,100,44,10,7,10,17,8,9,17.9,7,8,8,9,0.7,9,10,8,132,0,7,8,High
1184,46,8,2,82,44,9,7,8,16,8,9,18.8,8,9,8,9,0.62,7,6,7,152,3,8,10,High
1185,38,5,2,90,41,6,7,6,18,8,6,15.2,8,9,6,5,0.31,5,6,6,111,2,3,3,Medium
1186,44,1,3,49,43,6,3,6,16,5,9,10.5,10,9,8,5,0.26,3,7,3,125,8,7,5,Medium
1187,47,8,2,69,44,10,5,10,13,9,7,22.4,10,10,6,8,0.78,9,6,6,135,3,6,7,High
1188,49,7,2,65,35,10,5,9,11,4,6,12.0,7,4,1,7,0.33,9,8,8,125,7,8,9,Medium
1189,34,4,0,88,45,6,5,7,10,5,6,7.9,6,7,8,7,0.06,7,7,5,144,2,7,6,Medium
1190,32,5,1,78,39,7,6,7,11,7,6,8.2,7,9,8,6,0.23,5,7,9,113,8,7,6,Medium
1191,23,3,2,100,37,3,3,4,7,6,2,5.9,3,5,4,3,0.03,3,3,1,88,9,5,3,Low
1192,41,7,4,88,42,7,10,9,18,10,6,20.3,8,8,8,9,0.68,9,5,9,161,5,7,10,High
1193,56,8,3,85,41,9,9,7,17,7,9,18.3,7,9,8,7,0.64,9,6,9,147,0,8,8,High
1194,52,6,2,76,40,5,5,8,11,5,9,8.0,5,7,6,5,0.05,7,6,5,119,3,8,5,Medium
1195,34,5,2,69,44,7,5,7,12,7,9,9.2,7,6,5,7,0.07,7,4,7,129,6,5,7,Medium
1196,46,5,1,47,45,7,9,7,7,8,5,20.1,6,7,8,6,0.36,9,8,7,124,6,6,8,Medium
1197,54,8,6,80,41,9,6,10,17,7,9,22.7,10,10,10,8,0.75,10,7,9,158,1,7,10,High
1198,62,8,4,53,49,9,7,8,19,8,8,24.0,10,8,9,8,0.79,9,7,8,140,3,8,8,High
1199,48,10,5,85,46,9,8,8,15,9,8,15.1,10,9,9,6,0.73,8,7,7,134,2,9,10,High
1200,52,10,3,92,42,10,9,9,18,10,10,14.0,10,9,10,10,0.78,9,5,8,135,0,8,7,High
1201,43,7,2,74,36,7,6,7,12,6,6,14.9,8,6,5,5,0.07,10,8,6,121,4,7,5,Medium
1202,40,6,0,92,42,6,3,3,11,5,4,8.4,9,2,6,3,-0.37,2,5,5,76,8,6,4,Low
1203,36,1,1,56,37,6,3,4,6,3,5,7.2,2,5,1,4,-0.36,2,5,4,97,7,4,4,Low
1204,56,8,6,100,40,7,7,9,16,9,10,17.5,7,8,7,9,0.87,8,5,8,135,3,9,7,High
1205,44,7,0,76,37,5,5,9,12,8,6,7.8,6,3,5,5,0.38,4,5,5,122,4,8,6,Medium
1206,27,5,0,42,39,5,1,7,9,2,5,6.8,3,2,6,8,-0.24,5,7,5,78,6,3,3,Low
1207,32,8,0,35,35,6,4,4,13,2,1,9.3,7,2,5,1,0.11,7,4,4,87,3,2,5,Low
1208,41,8,2,74,42,10,6,3,16,6,6,9.0,5,5,3,9,0.64,7,8,7,113,7,5,10,Medium
1209,34,4,1,38,37,6,3,4,12,4,4,8.1,3,6,6,6,-0.27,3,4,4,75,8,7,2,Low
1210,31,4,1,33,35,3,4,2,7,4,3,9.7,4,3,3,2,0.14,4,1,2,77,6,8,2,Low
1211,50,7,1,90,43,6,6,6,11,8,8,10.5,8,8,8,6,0.41,4,7,6,131,6,5,4,Medium
1212,51,6,2,64,38,7,6,9,19,5,8,11.1,7,9,6,8,-0.1,10,6,6,110,4,6,5,Medium
1213,44,5,2,46,36,6,6,8,11,4,9,8.0,5,6,6,8,0.32,6,5,10,123,5,5,7,Medium
1214,44,7,1,66,45,7,5,6,10,5,9,12.4,5,4,3,6,-0.06,3,7,9,144,2,7,5,Medium
1215,45,9,7,89,49,10,9,8,18,9,9,17.4,10,8,9,6,0.63,8,8,6,129,4,8,10,High
1216,40,8,4,94,46,7,6,6,9,8,4,13.9,5,6,7,6,0.23,5,5,5,126,3,3,6,Medium
1217,43,5,2,78,47,6,4,7,15,7,6,6.7,7,4,7,4,-0.34,5,9,6,132,3,7,6,Medium
1218,44,10,4,79,47,10,10,8,19,8,8,13.4,9,7,9,9,0.86,10,7,9,176,2,5,9,High
1219,37,6,3,78,40,7,3,7,9,6,5,13.2,8,8,7,7,-0.29,9,5,2,91,3,7,6,Medium
1220,41,9,4,93,52,8,9,9,17,9,9,18.0,9,8,8,8,0.48,9,9,9,150,0,7,7,High
1221,37,7,4,46,43,6,7,8,16,8,8,9.8,7,8,4,8,0.44,6,6,6,89,4,6,6,Medium
1222,49,6,2,100,48,6,7,5,14,8,6,11.5,4,7,8,6,0.28,6,5,4,128,0,5,5,Medium
1223,28,6,0,56,32,7,4,4,7,4,4,12.4,6,4,5,7,0.14,6,7,2,95,10,5,2,Low
1224,37,6,3,54,36,7,7,5,10,4,8,12.3,5,7,6,8,0.31,6,9,2,97,0,3,7,Medium
1225,49,6,2,75,36,5,6,7,13,5,5,18.1,4,8,6,9,0.23,5,5,5,117,4,4,8,Medium
1226,37,7,0,97,37,5,5,5,6,4,7,11.7,7,7,5,6,0.21,9,5,5,117,3,6,4,Medium
1227,57,9,4,96,40,9,6,9,19,8,8,14.7,8,8,7,9,0.86,9,7,7,172,3,10,8,High
1228,38,4,3,49,41,7,8,6,15,7,9,13.0,7,4,9,5,-0.06,4,5,3,131,3,5,9,Medium
1229,44,7,4,98,46,9,10,7,15,8,9,21.2,8,7,8,9,0.56,7,6,6,131,2,8,8,High
1230,42,7,2,58,47,7,7,6,12,9,6,8.2,9,7,7,6,-0.05,1,7,4,108,6,4,8,Medium
1231,43,8,1,81,47,10,7,8,20,10,7,17.8,9,8,8,9,0.83,9,10,9,110,1,9,8,High
1232,39,8,2,81,33,8,4,9,12,5,7,9.1,6,7,5,5,0.56,6,5,3,126,5,4,6,Medium
1233,40,4,2,62,39,4,6,9,11,5,5,9.6,6,10,5,7,0.03,8,8,4,116,4,6,6,Medium
